X1,Y1,X2,Y2,C1,C2,Cc,Year,Month,Day,Hours,Minutes,Seconds,LaserPower
-0.35,-0.25,-0.35,0.25,9239,34741,0,2019,6,21,15,41,37,-1
-0.3,-0.25,-0.3,0.25,8990,58995,0,2019,6,21,15,41,58,3682
-0.25,-0.25,-0.25,0.25,9707,85845,0,2019,6,21,15,42,19,3686
-0.2,-0.25,-0.2,0.25,11380,107889,0,2019,6,21,15,42,41,3695
-0.15,-0.25,-0.15,0.25,14099,131459,1,2019,6,21,15,43,2,3676
-0.1,-0.25,-0.1,0.25,16910,156896,1,2019,6,21,15,43,23,3691
-0.05,-0.25,-0.05,0.25,21488,188124,4,2019,6,21,15,43,45,3676
0.,-0.25,0.,0.25,25429,190559,4,2019,6,21,15,44,6,3693
0.05,-0.25,0.05,0.25,27922,166518,0,2019,6,21,15,44,27,3685
0.1,-0.25,0.1,0.25,30266,126108,3,2019,6,21,15,44,49,3691
0.15,-0.25,0.15,0.25,30015,88900,3,2019,6,21,15,45,10,3686
0.2,-0.25,0.2,0.25,26363,53099,0,2019,6,21,15,45,31,3680
0.25,-0.25,0.25,0.25,23685,33196,0,2019,6,21,15,45,53,3678
0.3,-0.25,0.3,0.25,21109,22329,0,2019,6,21,15,46,14,3695
0.35,-0.25,0.35,0.25,17935,15916,0,2019,6,21,15,46,35,3681
0.35,-0.2,0.35,0.2,31869,18869,0,2019,6,21,15,46,56,3676
0.3,-0.2,0.3,0.2,41637,27274,0,2019,6,21,15,47,18,3673
0.25,-0.2,0.25,0.2,49739,41824,0,2019,6,21,15,47,39,3663
0.2,-0.2,0.2,0.2,58273,69743,4,2019,6,21,15,48,0,3673
0.15,-0.2,0.15,0.2,72722,131587,9,2019,6,21,15,48,22,3672
0.1,-0.2,0.1,0.2,80760,218429,13,2019,6,21,15,48,43,3663
0.05,-0.2,0.05,0.2,79911,303152,13,2019,6,21,15,49,4,3679
0.,-0.2,0.,0.2,70312,362850,13,2019,6,21,15,49,26,3679
-0.05,-0.2,-0.05,0.2,60377,393738,14,2019,6,21,15,49,47,3677
-0.1,-0.2,-0.1,0.2,42110,335658,4,2019,6,21,15,50,8,3665
-0.15,-0.2,-0.15,0.2,26536,290066,2,2019,6,21,15,50,30,3688
-0.2,-0.2,-0.2,0.2,16629,239953,0,2019,6,21,15,50,51,3698
-0.25,-0.2,-0.25,0.2,12392,198457,0,2019,6,21,15,51,12,3697
-0.3,-0.2,-0.3,0.2,10286,137002,0,2019,6,21,15,51,34,3699
-0.35,-0.2,-0.35,0.2,9135,70614,1,2019,6,21,15,51,55,3694
