X1,Y1,X2,Y2,C1,C2,Cc,Year,Month,Day,Hours,Minutes,Seconds,LaserPower
-0.15,-0.05,0.15,-0.05,31576,641080,142,2019,6,19,12,21,26,3710
-0.1,-0.05,0.1,-0.05,106383,1368552,1036,2019,6,19,12,21,32,3707
-0.05,-0.05,0.05,-0.05,214351,1923633,2242,2019,6,19,12,21,38,3708
0.,-0.05,0.,-0.05,266234,2235340,2949,2019,6,19,12,21,44,3709
0.05,-0.05,-0.05,-0.05,324329,2165810,3108,2019,6,19,12,21,50,3711
0.1,-0.05,-0.1,-0.05,286212,1429466,1856,2019,6,19,12,21,56,3710
0.15,-0.05,-0.15,-0.05,144456,632880,558,2019,6,19,12,22,2,3710
0.2,-0.05,-0.2,-0.05,47584,200913,111,2019,6,19,12,22,8,3709
0.25,-0.05,-0.25,-0.05,15028,57373,7,2019,6,19,12,22,14,3709
0.3,-0.05,-0.3,-0.05,6303,20598,2,2019,6,19,12,22,20,3709
0.35,-0.05,-0.35,-0.05,3764,9203,0,2019,6,19,12,22,26,3708
0.35,0.,-0.35,0.,4007,9140,3,2019,6,19,12,22,32,3708
0.3,0.,-0.3,0.,7151,20387,1,2019,6,19,12,22,38,3709
0.25,0.,-0.25,0.,19035,54333,12,2019,6,19,12,22,44,3714
0.2,0.,-0.2,0.,75234,216266,139,2019,6,19,12,22,50,3719
0.15,0.,-0.15,0.,434692,849459,2247,2019,6,19,12,22,56,3719
0.1,0.,-0.1,0.,1891572,2164471,18194,2019,6,19,12,23,2,3716
0.05,0.,-0.05,0.,2818638,3454917,38825,2019,6,19,12,23,8,3712
0.,0.,0.,0.,2590098,4302714,45065,2019,6,19,12,23,15,3714
-0.05,0.,0.05,0.,1983250,4791472,39865,2019,6,19,12,23,21,3714
-0.1,0.,0.1,0.,1083961,3748989,20070,2019,6,19,12,23,27,3712
-0.15,0.,0.15,0.,238354,1235463,2218,2019,6,19,12,23,33,3712
-0.2,0.,0.2,0.,39474,266454,94,2019,6,19,12,23,39,3720
-0.25,0.,0.25,0.,10589,110837,11,2019,6,19,12,23,45,3726
-0.3,0.,0.3,0.,5416,66071,2,2019,6,19,12,23,51,3720
-0.35,0.,0.35,0.,3567,41904,2,2019,6,19,12,23,57,3712
-0.35,0.05,0.35,0.05,3414,22777,0,2019,6,19,12,24,3,3712
-0.3,0.05,0.3,0.05,5166,42609,1,2019,6,19,12,24,9,3710
-0.25,0.05,0.25,0.05,9686,76124,3,2019,6,19,12,24,15,3711
-0.2,0.05,0.2,0.05,32101,133807,17,2019,6,19,12,24,21,3710
-0.15,0.05,0.15,0.05,197261,449989,736,2019,6,19,12,24,27,3708
-0.1,0.05,0.1,0.05,979779,1477670,9144,2019,6,19,12,24,33,3709
-0.05,0.05,0.05,0.05,1947563,2187120,21635,2019,6,19,12,24,39,3707
0.,0.05,0.,0.05,2153911,1913367,21367,2019,6,19,12,24,45,3704
0.05,0.05,-0.05,0.05,1979967,1572721,16611,2019,6,19,12,24,51,3708
0.1,0.05,-0.1,0.05,1479594,1068648,9466,2019,6,19,12,24,57,3707
0.15,0.05,-0.15,0.05,631409,438466,2464,2019,6,19,12,25,4,3706
0.2,0.05,-0.2,0.05,130982,122376,200,2019,6,19,12,25,10,3704
0.25,0.05,-0.25,0.05,29482,40564,9,2019,6,19,12,25,16,3696
0.3,0.05,-0.3,0.05,10302,17324,0,2019,6,19,12,25,22,3698
