X1,Y1,X2,Y2,C1,C2,Cc,Year,Month,Day,Hours,Minutes,Seconds,LaserPower
-0.35,-0.25,0.35,-0.25,11503,21577,0,2019,6,21,12,52,21,-1
-0.3,-0.25,0.3,-0.25,11525,28547,1,2019,6,21,12,52,42,3666
-0.25,-0.25,0.25,-0.25,13109,38441,1,2019,6,21,12,53,3,3669
-0.2,-0.25,0.2,-0.25,15334,52379,2,2019,6,21,12,53,24,3672
-0.15,-0.25,0.15,-0.25,18481,70384,1,2019,6,21,12,53,45,3667
-0.1,-0.25,0.1,-0.25,21416,85489,1,2019,6,21,12,54,6,3661
-0.05,-0.25,0.05,-0.25,23483,95852,2,2019,6,21,12,54,27,3665
0.,-0.25,0.,-0.25,25083,104441,3,2019,6,21,12,54,47,3667
0.05,-0.25,-0.05,-0.25,24036,100568,1,2019,6,21,12,55,8,3664
0.1,-0.25,-0.1,-0.25,22492,93584,2,2019,6,21,12,55,29,3659
0.15,-0.25,-0.15,-0.25,20627,81690,2,2019,6,21,12,55,50,3662
0.2,-0.25,-0.2,-0.25,18105,69025,4,2019,6,21,12,56,11,3659
0.25,-0.25,-0.25,-0.25,16166,54426,7,2019,6,21,12,56,32,3657
0.3,-0.25,-0.3,-0.25,14512,40681,0,2019,6,21,12,56,53,3663
0.35,-0.25,-0.35,-0.25,13638,29765,0,2019,6,21,12,57,14,3653
0.35,-0.2,-0.35,-0.2,20487,49073,2,2019,6,21,12,57,35,3663
0.3,-0.2,-0.3,-0.2,25435,74725,8,2019,6,21,12,57,56,3661
0.25,-0.2,-0.25,-0.2,31665,112568,8,2019,6,21,12,58,17,3666
0.2,-0.2,-0.2,-0.2,38319,150706,4,2019,6,21,12,58,38,3661
0.15,-0.2,-0.15,-0.2,44348,178485,12,2019,6,21,12,58,58,3654
0.1,-0.2,-0.1,-0.2,54794,203015,24,2019,6,21,12,59,19,3672
0.05,-0.2,-0.05,-0.2,60294,235177,21,2019,6,21,12,59,40,3662
0.,-0.2,0.,-0.2,59359,244913,28,2019,6,21,13,0,1,3655
-0.05,-0.2,0.05,-0.2,56051,227365,21,2019,6,21,13,0,22,3653
-0.1,-0.2,0.1,-0.2,49529,197508,15,2019,6,21,13,0,43,3676
-0.15,-0.2,0.15,-0.2,38990,151138,15,2019,6,21,13,1,4,3669
-0.2,-0.2,0.2,-0.2,27589,103311,2,2019,6,21,13,1,25,3675
-0.25,-0.2,0.25,-0.2,18823,66063,0,2019,6,21,13,1,46,3672
-0.3,-0.2,0.3,-0.2,14718,45514,1,2019,6,21,13,2,7,3671
-0.35,-0.2,0.35,-0.2,11349,29651,0,2019,6,21,13,2,28,3664
-0.35,-0.15,0.35,-0.15,14844,42731,0,2019,6,21,13,2,49,3667
-0.3,-0.15,0.3,-0.15,21285,65389,3,2019,6,21,13,3,10,3673
-0.25,-0.15,0.25,-0.15,36460,105244,7,2019,6,21,13,3,31,3654
